participant,age,sex,participantNum
1015,39,2,1015
1017,19,2,1017
1018,52,2,1018
1019,24,1,1019
1020,19,2,1020
1023,38,2,1023
1024,40,2,1024
1026,20,2,1026
1028,45,1,1028
1029,30,2,1029
1030,44,1,1030
1031,47,2,1031
1032,24,2,1032
1033,24,2,1033
1034,37,1,1034
1036,39,1,1036
1037,41,1,1037
1038,39,1,1038
1039,21,1,1039
1042,23,2,1042
1045,22,2,1045
1046,20,2,1046
1047,50,2,1047
1048,26,1,1048
1051,27,1,1051
1052,26,1,1052
1053,28,2,1053
1055,24,2,1055
1056,19,2,1056
1057,31,2,1057
1059,45,2,1059
1060,28,2,1060
1061,24,2,1061
1062,60,2,1062
1064,29,1,1064
1065,37,2,1065
1066,27,1,1066
1067,22,2,1067
1068,42,2,1068
1069,60,2,1069
1070,18,1,1070
1071,27,2,1071
1072,48,1,1072
1074,22,1,1074
1075,32,2,1075
1076,27,1,1076
1077,21,1,1077
1078,26,1,1078
1080,37,1,1080
1081,37,2,1081
1082,19,1,1082
1084,28,2,1084
1085,36,1,1085
1086,51,2,1086
1089,18,1,1089
1090,26,2,1090
1091,34,2,1091
1092,32,2,1092
1094,23,2,1094
1096,33,1,1096
1098,65,1,1098
1100,37,2,1100
1101,30,1,1101
1102,19,1,1102
1103,21,2,1103
1105,49,2,1105
1106,20,1,1106
1108,34,1,1108
1110,29,1,1110
1111,46,2,1111
1112,35,1,1112
1113,33,1,1113
1115,30,1,1115
1116,31,2,1116
1117,47,2,1117
1118,41,1,1118
1119,42,2,1119
1120,46,1,1120
1121,55,2,1121
1123,18,2,1123
1124,18,1,1124
1126,18,2,1126
1127,19,2,1127
1130,18,1,1130
1131,24,1,1131
1132,39,1,1132
1133,28,1,1133
1135,20,2,1135
1136,21,2,1136
1139,28,2,1139
1141,28,1,1141
1142,38,2,1142
1145,5b98701eb79d6d0001d08882,1,1145
1146,29,1,1146
1147,34,1,1147
1148,29,2,1148
1149,55,1,1149
1151,30,2,1151
1152,21,1,1152
1153,29,1,1153
1155,58,1,1155
1156,27,2,1156
1157,21,2,1157
1159,20,2,1159
1160,51,2,1160
1161,26,2,1161
1162,37,2,1162
1163,40,2,1163
1164,41,1,1164
1166,21,1,1166
1168,19,1,1168
1170,25,1,1170
1173,27,1,1173
1174,21,1,1174
1175,22,2,1175
1178,34,2,1178
1183,18,1,1183
1184,18,1,1184
1185,22,2,1185
1186,24,2,1186
1187,57,2,1187
1188,19,2,1188
1190,23,2,1190
1191,25,2,1191
1193,25,2,1193
1194,47,1,1194
1196,20,2,1196
1197,35,2,1197
1198,19,1,1198
1199,24,2,1199
1200,25,2,1200
1201,19,1,1201
1202,44,1,1202
1205,59,2,1205
1206,39,2,1206
1207,37,2,1207
1208,21,2,1208
1211,24,2,1211
1404,42,2,1404
1406,49,1,1406
1408,52,2,1408
1409,60,1,1409
1410,54,1,1410
1412,47,2,1412
1413,31,1,1413
1414,45,2,1414
1415,45,2,1415
1416,25,2,1416
1417,29,2,1417
1418,36,2,1418
1420,35,1,1420
1421,44,2,1421
1424,40,2,1424
1425,40,1,1425
1426,52,2,1426
1427,59,2,1427
1428,25,1,1428
1429,44,2,1429
1430,44,1,1430
1432,42,1,1432
1433,40,2,1433
1435,38,2,1435
1437,30,1,1437
1438,39,2,1438
1439,41,2,1439
